job_class,sum
产品/品牌经理产品/品牌主管,2
促销员/导购员,6
普工/操作工焊工,6
工程/设备工程师维修工程师,18
硬件测试工程师质检员/测试员,2
产品工艺/制程工程师产品专员,1
咨询热线/呼叫中心服务人员,13
证券/期货/外汇经纪人,6
网络维修技术文员/助理,1
电话销售贸易/外贸专员/助理,1
总裁助理/总经理助理企业秘书/董事会秘书,3
模具工程师夹具工程师/技师,1
人力资源企业文化/员工关系/工会管理,1
新媒体运营网络推广经理/主管,1
组装工装配工程师/技师,2
渠道/分销专员客户代表,1
生产计划/物料管理生产领班/组长,7
生产领班/组长生产主管,3
贸易/外贸经理/主管电商运营,1
工厂经理/厂长生产总监,2
自动控制工程师/技术员技术研发工程师,3
集成电路IC设计/应用工程师电子软件开发,5
医疗器械生产/质量管理,5
销售总监副总经理/副总裁,1
大客户管理渠道/分销经理,1
生产主管产品工艺/制程工程师,2
总裁助理/总经理助理,62
销售经理客户经理/主管,10
韩语/朝鲜语翻译芯片销售工程师,1
仓库管理员物流专员/助理,3
电声/音响工程师/技术员电子技术研发工程师,1
物流专员/助理仓库管理员,3
质检员/测试员食品/饮料研发,1
食品/饮料研发技术研发工程师,1
电气工程师/技术员装配工程师/技师,1
售前/售后技术支持工程师集成电路IC设计/应用工程师,6
工程/设备经理技术研发经理/主管,1
结构/土木/土建工程师建筑工程师,1
建筑安装施工员给排水/暖通工程,1
电气工程师/技术员电子技术研发工程师,1
产品工艺/制程工程师生产主管,2
体系工程师质检员/测试员,1
电力工程师/技术员项目管理,2
合规主管/专员,6
半导体技术生产计划/物料管理,2
电气工程师/技术员半导体技术,1
技术研发工程师工程/设备经理,1
工业工程师项目经理/主管,1
经销商渠道/分销经理,1
市场分析/调研人员市场通路经理/主管,1
技术支持/维护工程师电子软件开发,1
技术支持/维护工程师硬件工程师,2
会计审计专员/助理,1
电子技术研发工程师激光/光电子技术,2
项目管理建筑工程管理/项目经理,1
版图设计工程师电气工程师/技术员,1
成本经理/成本主管,17
其他技术文员/助理,3
集成电路IC设计/应用工程师半导体产品经理/产品工程师,2
项目执行/协调人员项目主管,1
市场/营销/拓展专员,73
技术文员/助理技术文档工程师,1
技术研发经理/主管,40
生产计划/物料管理物料经理,1
客户关系经理/主管客服专员/助理,1
集成电路IC设计/应用工程师数字后端工程师,5
网络工程师技术支持/维护工程师,2
国内贸易人员贸易/外贸专员/助理,1
市场/营销/拓展专员经销商,1
贸易/外贸经理/主管高级业务跟单,1
工程/设备工程师硬件测试工程师,2
生产主管电子工程师/技术员,1
市场/营销/拓展专员产品专员,1
防损员/内保,1
市场通路经理/主管,3
产品规划工程师工程/设备经理,1
智能大厦/综合布线/安防/弱电技术支持/维护工程师,4
系统集成工程师智能大厦/综合布线/安防/弱电,1
技术支持/维护工程师智能大厦/综合布线/安防/弱电,1
电声/音响工程师/技术员系统集成工程师,2
装配工程师/技师组装工,3
市场/营销/拓展专员市场助理,4
激光/光电子技术售前/售后技术支持工程师,3
仪器/仪表/计量分析师,6
电子工程师/技术员生产领班/组长,2
集成电路IC设计/应用工程师嵌入式硬件开发,3
电子工程师/技术员机械工程师,1
市场/营销/拓展经理其他,1
售前/售后技术支持工程师网络销售/在线销售,1
销售行政专员客服专员/助理,5
网络销售/在线销售大客户销售,2
渠道/分销经理市场/营销/拓展经理,1
半导体技术给排水/暖通工程,1
